हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
त्यांनी कुमुदच्या आईची लेक या नावाने आत्मचरित्र लिहिले आहे.	tyanni Kumudachya Aaichi Lek ya navane atmacharitra lihile aahe.
त्यामुळे मध्ययुगीन जर्मन् शहर कसे होते याचे हायडेलबर्ग उत्तम उदाहरण आहे.	tyamule madhyayugin germon shahar kase hote yache Hidelburg uttam udaharan aahe.
मडार्न इनडियन पोएट्रि: सम्पादक ब्रुस किंग	Modern Indian Poetry: sampadak Bruce King.
सुरतची मोहीम महाराजांच्या इतर मोहिमांपेक्षा वेगळी अशासाठी ठरते की महाराजांच्या तोपर्यंतच्या कारकिर्दीतील परमुलखात काढलेली ही पहिलीच मोहीम होती.	Suratachi mohim Maharajanchya itar mohimanpeksha vegali ashasathi tharate ki Maharajanchya toparyanachya karkirditeel parmulakhat kadhaleli hee pahilich mohim hoti.
तसाच तो पेशव्यांच्या घरावरही झाला होता.	tasach to Peshavyanchya gharavarahi zala hota.
पेशाने वकील असलेला आर्थर अध्यक्ष बनण्याअगोदर जेम्स गारफील्ड याच्या अध्यक्षीय राजवटीत उपराष्ट्राध्यक्षपदाची धुरा वाहत होता.	peshane vakil asalela Arther adhyaksha bananyaagodar James Garfield yachya adhyakshiya rajvatit uprashtrapadachi dhura vahat hota.
उदा., धार्मिक साधनेसाठी देवघराची योजना, संपत्तीच्या वा धान्याच्या संचयासाठी विशिष्ट व्यवस्था, पतिपत्नींसाठी शयनगृहे इत्यादी.	uda., dharmik sadhanesathi devgharachi yojana, sampattichya va dhanyachya sanchayasathi vishisht vyavastha, patipatninsathi shayanagrihe, Ityadee.
ब्यार्न स्त्राऊस्त्रुप ह्या संगणक तज्ञाने ही भाषा विकसित केली .	Bjarane Stroustrup hya sanganaka tadnyane hee bhasha vikasit keli hohi.
१६५९ रोजी मराठा साम्राज्याचे संस्थापक शिवाजीमहाराज यांनी आदिलशाही सेनानी अफजल खान यास जावळीच्या युद्धात ठार मारण्यासाठी केला होता, असे म्हटले जाते.	1659 roji Maratha Samrajyache Sansthapak ShivajiMaharaj yanni Adilshahi senani Afajal khan yaas Javalichya yuddhat thar maranyasathi kela hota, ase mhatale jate.
मुल्क राज आनंद आणि राजा राव यांच्यासमवेत ते इंग्रजीतील सुरुवातीच्या भारतीय साहित्याचे अग्रगण्य लेखक होते.	Mulk Raj Anand aani Raja Raw yanchyasamavet te ingrajitil suruvatichya Bharatiya sahityache agraganya lekhak hote.
त्यांना मराठी, हिंदी,इंग्रजी खेरीज संस्कृत, जर्मन, फ्रेंच इ.	tyanni Marathi, Hindi, Ingraji kherij Sanskrit, Germon, French I.
बाराव्या शतकातील दुर्लक्षित मराठी लेखिका.	Baravya shatakatil durlakshit Marathi lekhika.
त्यांच्या अंतिम संस्कारानंतर जॅकेलिन आपल्या मुलांसह खाजगी जीवन जगली.	tyanchya antim sanskaranantar Jacaline aaplya mulansah khajagi jeevan jagali.
त्या नंतर ते मुंबईस इनकमटॅक्स कलेक्टर व ओरिएटंल टॅ्रन्सलेटर वगैरे हुद्यांवरही राहिले.	tya nantar te Mumbais Incomtax collector va oriental Translator vagaire hudyanvarahi rahile.
लग्नबंबाळ	Lagnabambal
ह्यांना एशियाटिक सोसायटीने ’कँबेल मेडल’ देऊन गौरविले होते.	hyanna Ashiatik Societine 'Canbel Medal' deun gauravile hote.
तिच्यात कॅरोटीन, थायामीन, रिबोफ्लाविन, निॲकसीन आणि क ही जीवनसत्त्वे असतात.	tichyat caroteen, thiyamin, riboflavi, .niaxine aani k hee jeevanasatwe asatat.
इस्रायलचा इतिहास यात आधुनिक इस्रायलचे राज्य व इस्रायलमधिल ज्यूंचा इतिहास हा एकत्रितपणे समाविष्ट करावा लागेल.	Israyalacha itihas yaat aadhunik Israyalache rajya vz Israyalmadhil Jewnch itihas ha ekatritpane samavishta karava lagel.
भारतातील किल्ले	Bharatatil kille
एक अभिनव खडू पर्याय जो पेंट पेन सारखाच काम करतो, तो चाक चे समान स्वरूप आणि अनुभव आणि पाउडर गोंधळ न करता.	ek abhinav khadu paryay jo paint pen sarkhach kaam karato, to chalk che saman swaroop aani abubhav aani powdercha gondhal na karata.
’रेजिसॊर’ म्हणजे नाट्य दिग्दर्शन, नाट्य निर्मिती, नाट्य शिक्षण यांसारखी विविध नाट्यविषयक कामे करणारा माणूस.	regisor' mhanaje natya digdarshan, natya nirniti, natya shikshan yansarakhi vividh natyavishayak kame karanara manus.
ह्या सर्व बिर्याण्यांमध्ये मूळ घटक सारखेच असले तरी तांदूळाचा प्रकार, मसाल्यांचे मिश्रण व पाकशैलीमध्ये वैविध्य आहे.	hya sarva biryanyanmadhye mool ghatak sarakhech asale tari tandulacha prakar, masalyanche mishran va pakashailimadhye vaividhya aahe.
उरुग्वे पेसो हे उरुग्वेचे अधिकृत चलन आहे.	Urugve Peso he Urugveche adhkrit chalan aahe.
चांदबिबीचा विवाह विजापुराचा पहिला अली आदिलशाह याच्याशी झाला.	Chandbibicha vivah Vijapuracha pahila Ali Adilshah yachyachi zala.
सुमारे ३ लाख लोकसंख्या असलेले पोर्ट मॉरेस्बी शहर २००५ साली घेण्यात आलेल्या एका अहवालानुसार राहण्यासाठी जगातील सर्वात वाईट शहरांपैकी एक आहे.	sumare 3 lakh lokasankhya aslele Port Morasby shahar 2005 Sali ghenyat alelya eka ahavalanusar rahanyasathi jagatil sarvat vait shaharanpaiki ek aahe.
उत्तम बावस्कर हे मराठवाड्यातील एक कथालेखक आहेत. त्यांची 'बुजगावणं', इस्कोट' 'टंचाई' हे तीन कथासंग्रह आहेत.	Uttam Bavaskar he marathwadyatil ek kathalekhak aahet. Tyanche 'Bujagavane', 'Iskot', 'Tanchai' he teen kathasangrah aahet
हा सण मुलींचा विशेष आवडता आहे.	ha sana mulincha vishesh aavadata aahe.
भारतीय सैन्यातील १४ रेजिमेंट्स ज्या कोणत्याही शत्रूला सेकंदात लोळवू शकतात	Bharatiya sainyatil 14 regiments jya konatyahi shatrula secondat lolavu dhakatat
द बाँबे शेड्युल्ड कास्ट्स इम्प्रुव्हमेंट ट्रस्ट	The Bombay Scheduled Castes Improvement Trust
अश्या प्रकारची कामे करणार्‍या व्यक्तिंना मांत्रिक म्हणतात.	ashya prakarachi kame karanaryanna mantrik mhanatat.
अन्नपदार्थ खाल्यानंतर प्रत्येकाने आपली प्लेट उचलण्याची अपेक्षा केली जाते, स्वच्छतेसाठी भांडीचे निरीक्षण केले जाते आणि त्यांच्या योग्य जागेत ठेवली जाते.	annapadartha khallyanantar pratyekane aapali plate uchalanyachi apexa keli jate, swachatesathi bhandyanche nirikhsan kele jate aani tyanchya yogya jaget thevali jatat.
कविताश्री	Kavitashri
शाळेतून काढून टाकल्यावर स्टालिनने काही काळ शिक्षक म्हणून तर काही काळ वेधशाळेत नोकरी केली.	shaletun kadhun takalyanantar Stalinne kahi kal shikhsak mhanun tar kahi kal vedhashalet nokari keli.
आज या संस्थेचे वटवृक्षात रूपांतर झाले आहे.	aaj ya sanstheche vatvrikshat roopantar zale aahe.
सारेच संधिवात स्त्रियांमध्ये जास्त प्रमाणात असले, तरी गाऊट आणि ऍन्किलोसिंग स्पाँडिलायटिस हे पुरुषांमधले विशेष संधिवात, गाऊटचे ऍटॅक, ऍन्किलोसिंग स्पाँडिलायटिसचे कडक कंबरेचे दुखणे, असे त्रास असतात.	sarech sandhiwat strianmadhye jast pramanat asale, tari Gout and ankylosing spondylitis he purushanmadhale vishesh sandhiwat, goutche attack, ankylosing spondylitische kadak kambareche dukhane, ase trass asatat.
मे २०१५ सालच्या सांसदीय निवडणुकीमध्ये हुजुर पक्षाने पुन्हा बहुमत मिळवल्यामुळे कॅमेरॉन पंतप्रधानपदावरच राहिला.	May 2015 salchya sansdiya nivadnukichya hujur pakshane punha bahumat milavlyamule camerown pantpradhanpadavarach rahila.
या कातगोळ्या विड्यात घालून खाल्ल्यास विड्याला विशेष सुगंध येतो.	Ya katgolya vidyat ghalun khallyas vidyala vishesh sugandh yeto.
पाणी या तीन हत्तींवरून पडते.	Pani ya teen hattivarun padhate.
ते भारतीय राष्ट्रीय काँग्रेस पक्षाचे सदस्य होते.	Te bhartiya rashtriya congress pakshache sadashya hote.
राज्यघटनेच्या, नरसिंहराव सरकारच्या, सन 1992 मध्ये पारित झालेल्या ७३व्या घटनादुरुस्तीनुसार, हा बदल करण्यात आला.	Rajyaghatnechya, narasihrav sarkarchya, san 1992 madhye parit zalelya 73vya ghatanadurustinusar, ha badal karnyat aala.
१९९९ ते २००२ दरम्यान प्रभू अटलबिहारी वाजपेयी सरकारमध्ये वने आणि पर्यावरण, खते आणि रसायन, ऊर्जा, अवजड उद्योग आणि सार्वजनिक उद्योग इत्यादी अनेक खात्यांचे कॅबिनेट मंत्री होते.	1999 te 2002 darmyan prabhu atalbihari vajpeyi sarkarmadhye vane ani paryavaran, khate ani rasayan, urja, avjad udyog ani sarvjanik udyog etyadi anek khatyanche cabinet mantri hote.
दाजी भाटवडेकर यांनी संगीत शारदम् या संस्कृत नाटकासाठी त्यांची निवड केली.	Daji bhatvadekar yanni sangit shardam ya sanskrut natkasathi tyanchi nivad keli.
थोडे पुढे जाताच एका ओढ्यापाशी त्यांचा घोडा अडला.	Thode pudhe jatach eka odhyapashi tyancha ghoda adla.
या खेळाला त्याच्या चिकित्सकांकडून चांगला प्रतिसाद लाभला आहे.	Ya khelala tyachya chikitshkankadun changla pratisad labhala ahe.
पर्यावरण आणि संस्कृती	Paryavaran ani sanskruti
तेव्हा गांगटे लोकांनी काही गावात पूर्वीप्रमाणे देवराईचे एक कडबोळ्यासारखे वलय पुनरुज्जीवित केले.	Tevha gangte lokanni kahi gavat purvipramane devraeche ek kadbolyasarkhe valay punrujjiveet kele.
समस्थानिकांच्या अणुकेंद्रातील प्रोटॉनांची संख्या समान असली, तरीही अणुकेंद्रातील न्यूट्रॉनांची संख्या भिन्न असल्यामुळे त्यांच्या अणुभारांत तफावत आढळते.	samsthanikanchya anukendratil protonanchi sankhya saman asali, tarihi anukedratil nutronanchi sankhya bhinna aslyamule tyanchya anubhanrat taphavat aadhalate.
योगी असूनही चांगदेवांमध्ये आत्मज्ञानाची आणि गुरुकृपेची कमतरता आहे असे निवृत्तीनाथांच्या लक्षात आले.	Yogi asunahi changdevanmadhye aatmadhyanachi ani gurukrupechi kamtarta ahe ase nivruttinathanchya lakshat aale.
धर्मयज्ञ	Dharmyagna
ननाणेशास्त्र	Nananeshashtra
ग्रंथाक्षर	Granthakshar
रस शक्यतो काचेच्या पेल्यात ग्राहकांना पिण्यासाठी दिला जातो.	Ras sahkyato khachechya pelyat grahkanna pinyasathi dila jato.
गौमी सलाम हे मालदीव या देशाचे राष्ट्रगीत आहे.	Gowmi salam he maldiv ya deshache rashtrageet aahe.
आत्माराम कृष्णाजी सावंत	Atmaram krushnaji sawant
श्रीनिवास कुलकर्णी हे इन्फोसिसचे नारायण मूर्ती यांच्या पत्‍नी सुधा मूर्ती यांचे भाऊ आहेत.	Shrinivas kulkarni he infosysche narayan murti yanchya patni sudha murti yanche bhau aahet.
अफ्रिका व मध्य पूर्वचा काही काळ दौरा केल्यावर, व हज पूर्ण केल्यावर, त्याला एल हज मलिक ए शाबाझ, हे नाव मिळाले.	Aafrika va madya purvcha kahi kal doura kelyavar, va haj purn kelyavar, tyala el haj malik a shabaz, he nav milale.
कुलदीप पवार मूळचे कोल्हापूरचे.	Kuldeep pawar mulche kolhapurche.
बाबासाहेब आंबेडकर अध्यक्ष होते.	Babasaheb Ambedkar adhyksh hote.
उत्तर भारतातील राज्यांमध्ये ग्रामीण भागातील लोक याला आखें, हीरे किंवा हिन्यूरे या नावाने ओळखतात.	Uttar bhartatil rajyanmadhye gramin bhagatil loek yala ankhe, hire kinva hinewre ya navane aolakhatat.
भूकंपाती लहरींचा भूगर्भशास्त्रज्ञांचा अभ्यास केला जातो.	Bhukampat laharincha bhugarbhshastradnyancha abhyas kela jato.
ब्रह्मघोटाळा	Brahamghotala
तव चरणी ही अञ्जली	tav charani hi anjali
तिथे समर्थांनी प्रभू रामचंद्रांचे मंदिर बांधले आणि उद्धवस्वामींची मठपती म्हणून नियुक्ती केली.	Tithe samarthanni prabhu ramchandranche mandir bandhale ani udhavswaminchi mathpati mhanun niyukti keli.
जीवनसुरभ	jivansurbh
चैत्रात महती कडुनिंबाची.	Chaitrat mahati kadunimbachi.
डेटन, केंटकी	Detan, kentki
हे प्रारण म्हणजे वैश्विक मायक्रोवेव्ह पार्श्वभूमी प्रारण पुढे विश्वामध्ये प्रसार पावत राहिले.	He praran mhanje vaiswik microwave parswabhoomi praran pudhe vishwamadhe prasar pavat rahile.
बुरहानपुर हे मध्य प्रदेश राज्यातील मध्य आकाराचे शहर आहे.	Burahanpur he madya pradesh rajyatil madya akarache shahar aahe.
सामान्य जनता आणि विद्यार्थी यांच्यात विज्ञा्नाविषय़ी कुतूहल निर्माण करणारी महाराष्ट्रात काही विज्ञान केंद्रे आहेत.	Samanya janata ani vidyarthi yanchyat vidnyanavishayi kutuhal nirman karnari maharashtrat kahi vidnyan kendre aahet.
दिल्लीभेटीपूर्वी त्यांनी राज्यकारभारासाठी जे अष्टप्रधानमंडळ स्थापले होते, त्या मंडळाने राजांच्या अनुपस्थितीमध्ये देखील राज्याचा कारभार चोख चालविला होता.	Dilhibhetipurvi tyani rajyakarbharasathi je ashtpradhanmandal sthapale hote, tya mandalane rajanchya anupasthitimadhye dekhil rajacha karbhar chokh chalvila hola.
यास 'माख' असेही म्हणतात.	Yas 'Makh' asehi mhantat.
यशवंतराव मुकणे, कै.	Yashavantrao mukane, kai.
त्याच्या मते, अफगाणिस्तान Harriud नदी मूळ "शरयू" आहे, आणि अयोध्येत त्याच्या काठावर वसलेले होते.	Tyachya mate, afganistan Harriud nadi mul "sharayu" aahe, ani ayodhyet tyachya kathavar vaslele hote.
सध्या पन्हाळा हे एक पर्यटनस्थळ म्हणून ओळखले जाते.	sadhya panhala he ek paryatansthal mhanun aolakhale jate.
एक गाडी बाकी अनाडी	Ek gadi baki anadi
गव्हाच्या पाच मुठीएवढ्या पेंढ्या तेथे ठेवल्या जातात.	Gavhachya pach muthievdhya pedhya tethe thevlya jatat.
गोलेबेक हे सहृदयी गृहस्थ भेटतात.	Golebek he sarhudayi gruhasth bhetat.
आता विषम आकडी वर्षात होणाऱ्या या संमेलनास सशुल्क उपस्थित राहण्याची कोणासही मुभा असते.	Aata visham aakadi varshat honarya ya sammelanas sashulk upasthit rahanyachi konasahi mubha asate.
या गडाची साधारणतः उंची ५९० मीटर आहे.	Ya gadachi sadharan unchi 590 miter aaeh.
ही खबरची शाहनिशा करण्यासाठी द्रोणाचार्य सत्यवचनी युधिष्ठिर कडे अश्वत्थामाचा वध झाल्याची बातमी खरी आहे का म्हणुन विचारतात.	Hi khabarchi shahnisha karnyasathi dronacharya satyavachani yudhisthir kade aswathamacha vadh zalyachi batmi khari aahe ka mhanun vichartat.
साधनसंपदा व पर्यावरण (अरुण राजाराम कुंभारे)	Sadhansampada va paryavaran (Arun rajaram kumbhare)
माधवराव लिमये कार्यक्षम आमदार पुरस्कार	Madhavrao limye karyksham amdar purskar
अशोक पत्की	Ashok patki
पुढे गांधीजी आणि कस्तुरबा यांना अजून चार मुले झाली- इ.	Pude gandhiji ani kasturba yanna ajun char mule zali- e.
हा विहिरीचा एक प्रकार आहे.	Ha vihiricha ek prakar ahe.
गांधीजींचे असामान्य ने्तॄत्व	Gandhijinche asamanya netrutwa
वेब ब्राउझर वापरून ही पाने संगणकाच्या पडद्यावर पाहता येतात.	web browser vaprun hi pane sangankanchya padyavar pahata yetat.
'तू मदरबोर्ड माझ्या संगणकाचा' ही कवी अरुण काळे लिखित 'नंतर आलेले लोक' काव्यसंग्रहातील कविता आहे.	Tu mothorboard mazya sangankacha' hi kavi arun kale likhit 'nantar alele lok' kavyasangrahatil kavita aahe.
बाबासाहेब समता प्रतिष्ठान (नागपूर) यांच्या तर्फे भरवले जाणार आहे.	Babasaheb samata pratisthan (nagpur) yanchya tarfe bharvale janar aahe.
परभणी जिल्हा साहित्य संमेलन, सोनपेठ	Parabhani jilha sahitya sammelan, sonpeth
तसेच त्यामुळे होणारी हालचाल, मिळणारी ऊर्जा व गती, तसेच या सर्वांचा आजुबाजुच्या परिस्थितीशी असणारा संबंध देखील अभ्यासला जातो.	Tasech tyamule honari halchal, milnari urja va gati, tasech ya sarvancha aajubajuchya paristhitishi asnara sambandh dekhil abhyasala jato.
दिल्लीतील सीबीआय कोर्टाने यासंदर्भात निर्णय दिला.	dillitil CBI courtane yasandarbhat nirnay dila.
महादेवकरांनी ते काम पत्करले.	mahadevkaranni te kam patkarale.
रिसोड मधील श्री आप्पास्वामी संस्थान (आसन)	resort madhil shri aappaswami sansthan (aasan)
सज्जनगड	sajjangad
गुप्त साम्राज्यातील राजांची सोन्याची नाणी यावर त्यांचे विशेष संशोधन होते.	Gupt samrajyatil rajanchi sonyachi nani yaver tyanche vishesh sanshodhan hote.
ह्या यादीला 'प्रोग्रॅम' म्हटले जाते.	hya yadila 'programme' mhatale jate.
काश्मीर	Kashmir
विषुववृत्ताच्या दोन्ही बाजूंना पसरलेला आफ्रिका हा खंड आहे.	vishuvruttachya donhi bajunna pasarlela aafrika ha khand aahe.
चितकारसमग्र	chitkarsamagra
तीय्या खलेटे व्हतेस.	tiyya khalete vhates.
सर्वांनी विधीमंडळ कामकाजात भाग घेतला.	sarvanni vidhimandal kamkajat bhag ghetla.
थाई नववर्षाचा दिवस दरवर्षी १३ एप्रिलला असतो, परंतु सुट्टीचा काळ १४-१५ एप्रिल मध्येही असतो.	Thai navvarshacha divas darvarshi 13 Aprilala asto, parantu sutticha kal 14-15 april madhyehi asto.
आपला देह क्रूर इंग्रजांच्या हाती लागू नये अशी त्यांची इच्छा होती.	aapla deh krur engrajanchya hati lagu naye ashi tyanchi echha hoti.
राग जयजयवंती हा हिंदुस्तानी संगीतातील एक राग आहे.	Rag jayjayvanti ha hindustani sangitatil ek rag ahe.
अण्णाजी दत्तो : शिवाजीचे वाकनीस, नंतर सुरनीस आणि शेवटी अमात्य	annaji datto : shivajiche vaknis, nantar surnis ani shevti amatya
या लेखात वर्णन केलेल्या वाफे प्रसारांच्या इतर पद्धती अस्तित्वात आहेत; जरी पृथ्वीवरील लहरींच्या तुलनेत तुलनेने किरकोळ महत्त्व असले तरी, ते एस्टेरोझिस्मॉलॉजीच्या बाबतीत महत्त्वाचे आहेत.	Ya lekhat varnan kelelya vafe prasaranchya etar padhati astitwat ahet; jari pruthwivaril laharichya tulnene kirkol mahatwa asle tari, te asterozysmalogychya babtit mahatwache ahet.
महाराष्ट्राच्या नारदीय कीर्तनाच्या परंपरेमध्ये हा अभिनव प्रयोग करणार्‍या कीर्तनकार डॉ.	Maharashtrachya narniya kirtanachya paramparemadhye ha abhinav prayog karnarya kirtankar dr.
एकवीस वर्षाचा पदव्युत्तर वर्गाचा तर एकूण पंचवीस वर्षाचा अध्यापनाचा अनुभव याखेरीज य.	ekvis varshachya padvyuttar vargacha tar ekun panchvis varshacha dharmadhikari anubhav yakherij ya.
मुंबई उच्च न्यायालयाचे मुख्य न्यायाधीश चंद्रशेखर धर्माधिकारी हे दादा धर्माधिकारींचे सुपुत्र.	Mumbai uchha nyayalayache mukhya nyayadhish chandrashekhar dharmadhikari he dada dharmadhikarinche suputra.
गुरू करणे, शिष्यत्व घेणे याचा अर्थ आपले स्वतःचे सर्व विसरून जाणे.	Guru karane, shishyatwa ghene yacha arth aapale swatache sarv visrun jane.
अरबांना झामोरीनकडे मान होता.	arbanna zamorinkade maan hota.
तसेच त्याने जिझिया कर परत लागू केला.	tasech tyane jiziya kar parat lagu kela.
मी दिवाणी	mi diwani
एन कॉलेज ऑफ होम सायन्स हे महिला विद्यापीठाशी संलग्न महाविद्यालय आहे.	N collage off home sience he mahila vidyapithashi salagn mahavidyalaya ahe.
१९६८ साली गायक-गिटारवादक डेव्हिड गिल्मोर या चमूत दाखल झाला.	1968 Sali gayak-gitarvadak devid gilmor ya chamut dakhal zala.
जैनांमधले, ज्यूंमधले आणि चीन व जपान येथील ’अंत्यविधी व अंत्यसंस्कार’	jainamadhale, jyumadhale ani chin va japan yethil 'antyavidhi va antyasanskar'
१९७३ या कालखंडात पंतप्रधान असलेल्या कित्तिकाचोर्णाने दशकभर लष्करी राजवट चालवली.	1973 ya kalkhandat pantpradhan aslelya kitteekachornane dashakbhar lashkari rajvat chalvali.
प्रत्यक्ष मराठी वळणाचे शब्द इ.	pratyaksh marathi valnache shabdh e.
भाद्रपदात येतो गणपतीचा सण.	bhadrapadat yeto ganpaticha san.
१८५४ रोजी झाशीच्या जनतेला उद्देशून जाहीरनामा काढण्यात आला.	1854 roji zashichya jantela uddeshun jahirnama kadhanyat aala.
तेव्हा जवाहरलाल नेहरूंच्या अध्यक्षतेखाली पक्षाचे लखनौ येथे अधिवेशन चालू होते.	Tevha javaharlal neharunchya adhyakshtekhali pakshache lakhnau yethe adhiveshan chalu hote.
भौतिकशास्त्रात वस्तुमानहीन कण हे अशाप्रकारचे मूलभूत कण असतात ज्यांचे निश्चल वस्तुमान शून्य असते.	bhoutikshashtrat vastumanhin kan he ashaprakarache mulbhut kan astat janche nichhal vastuman shunya aste.
ऊंसमळा	uusmala.
सुखाचा शोध	sukhacha shodh
हठ योग ही एक विशिष्ट योगविद्या आहे.	hat yog hi ek vishisht yogvidya ahe.
राग गोरख कल्याण हा भारतीय शास्त्रीय संगीतातील एक राग आहे.	Rag gorakh kalyan ha bhartiy shastriya sangitatil ek rag ahe.
त्यात त्यांनी यश मिळविले.	Tyat tyani yash milavale.
एक अश्रू (कविता)	ek ashru (kavita)
या बस पकडून आपल्याला 'शिरगाव स्टॉपवर' उतरावे लागते.	Ya bus pakdun aaplyala 'shirgaon stopvar' utrave lagte.
नाटक रंगामंचावर आले की ते पाहून त्यातील कलागुणांची दखल घेऊन त्या नाटकाचे परीक्षण करणारेही अनेकजण आहेत.	Natak rangmanchaver aale ki te pahun tyatil kalagunanchi dakhal gheun tya natkanche parikshan karnarehi anekjan ahet.
इतिहास, हिंदी आणि डॉ.	etihas, hindi ani dr.
अशी भली माणसे यांक्लीला भेटतात.	ashi bhali manse yaklila bhatatat.
हा उजव्या हाताने फलंदाजी व डाव्या हाताने फिरकी गोलंदाजी करतो.	Ha ujavya hatane phalandaji va davya hatane firaki golandaji karato.
शाहजहांमुळे या शहरामध्ये बराच वेळ घालवला, आणि शाही किलांना मदत केली.	Shahjahanmule ya shaharamadhye barach vel ghalvala, ani shahi kilanna madat keli.
तेथेही स्वस्थ न बसता लक्ष्मीबाईंनी आपल्या सैन्याची कवायत नियमित चालू ठेवली.	tethehi swasth na basta laxmivaenni aaplya sainyachi kavayat niyamit chalu thevli.
बडे दिलवाला (हिंदी)	Bade dilvala (hindi)
महंत शिवाजी महाराज नारायणगड	mahant shivaji maharaj narayangad
१९६१ मध्ये झालेल्या करारानुसार अंटार्क्टिकाला अराजनैतिक वैज्ञानिक अभ्यासाकरिता राखून ठेवण्यात आले.	1961 madhye zalelya kararanusar antartikala arajnaitik vaidnyanik abhyasakarita rakhun thevnyat aale.
चार दरवाजा मार्गे कोल्हापूर शहरातून "एस टी' बसने किंवा खाजगी वाहनाने किल्ल्यावर जाता येते.	Char darvaja marge kolhapur shaharatun "S T" busne kinva khajgi vahnane killyaver jata yete.
महर्षी वेदव्यास (कादंबरी, लेखक - सुधाकर शुक्ल)	maharshi vedvyas (kadambari, lekhak - sudhakar sukla)
च्या अंतरावर आहे.	Chya antaravar ahe.
४००मध्ये भानू कुळाने पांडुरंग पल्लीत मुख्य स्थानावर पुषण (सुर्य) व विष्णू (विठ्ठल) या देवतेची एकञीत चतुर्भुज मुर्ती स्थापण केली होती.	400madhye bhan kulane pandurang pallit mukhya sthanavar pushan (surya) va vishnu (vitthal) ya devtechi ektrit chaturbhuj murti sthapan keli hoti.
हा सामना अनिर्णीत राहिला.	Ha samna anirnnit rahila.
हा वृक्ष मूळचा भारतातील असून महाराष्ट्र, केरळ, तमिळनाडू व कर्नाटक राज्यांतील सदाहरित वनांत आढळतो.	Ha vruksh mulcha bhartatil asun maharashtra, keral, tamilnadu va karnatak rajyatil sadaharit vanant aadhalto.
या हेमाडपंथी मंदिराच्या भिंती व दारांवर मनुष्यांच्या व हत्तींच्या प्रतिमा कोरल्या आहेत.	Ya hemadpanthi mandirachya bhinti va daranvar manushyanchya va hattichya pratima korlya aahet.
मलबार समुद्रकिनार्यावरील भारतीय शासकांनी अल्मेडाच्या या अरेरावीबद्दल त्याला जाब विचारला तेव्हा अल्मेडाने त्यांनाही प्रत्युत्तर दिले.	malbar samudrakinaryavaril bhartiya shashkanni almedachya ya areravibaddal tyala jab vicharala tevha almedane tyannahi pratyuttar dile.
रोगप्रतिकारक शक्ती चांगली असते.	Rogpratikarak shakti changali aste.
[जागतिकीकरण आणि मराठी कविता] ह्या महत्त्वपूर्ण ग्रंथाचे संपादन डॉ.	[Jagteekikaran ani marathi kavita] hya mahatwapurn granthache sampadan dr.
दादासाहेब पित्रे, कै.	dadasaheb pitre, kai.
तसेच ’रंग दे बसंती’ या चित्रपटातसुद्धा आकाशवाणीच्या प्रसारणाचा उपयोग केल्याचे दाखवले आहे.	tasech 'rang de basanti' ya chitrapatatsudhha akashvanichya prasarnacha upayog kelyache dakhavale ahe.
त्यांची जातिनुसार उतरंडही आहे.	tyanchi jatinusar utrandahi ahe.
अंश म्हणजे पौर्णिमेच्या चंद्राएवढे आहे.	Ansh mhanje pournimechya chandraevade ahe.
विंध्यगिरी (एफ४२) ही भारतीय नौदलाची निलगिरी प्रकारची फ्रिगेट आहे.	Vindyagiri (F42) hi bhartiya naudalachi nilgiri prakarachi frigate ahe.
जुमा- शुक्रवार	Juma- shukravar
सन १९२५पासून कित्येक वर्षे मॅट्रिक्युलेशन व बी.टी. परीक्षांकरिता मुंबई विद्यापीठाकडून परीक्षक म्हणून नेमणूक.	san 1925pasun kityek varshe matriculation va B.T. parikshakarita mumbai vidyapithakadun parikshak mhanun nemnuk.
फ्रांसिस बेकन	Fransis bekan
स्पॅनिश काँकिस्तादोरांनी स्पेनमध्ये नेलेला अन्नप्रकारांमध्ये, ग्वाकामोले, हा सॉसमध्ये अ‍व्होकॅडो मुरवून केलेला अन्नप्रकार १६व्या शतकातील अस्तेक पाककृतींमधला एक लोकप्रिय प्रकार होता.	Spanish cokisthadoranni spenmadhye nelela annaprakaranmadhye, gwakamole, ha sosmadhye avhokado murvoon kelela annaprakar 16vya shatakatil astek pakakrutimadhala ek lokpriya prakar hota.
अनुपपुर हे भारताच्या मध्यप्रदेश राज्यातील एक शहर आहे.	anupapur he bharatachya madhyapradesh rajyatil ek shahar ahe.
बाळासाहेब माने हे इचलकरंजीचे माजी खासदार होते.	balasaheb mane he Ichalkaranjiche maji khasadara hote.
यांना पवित्र मानून संरक्षण देण्यात आलेले आहे.	yanna pavitra manun sanrakshan denyata alele ahe.
इब्सेन यांचे नाट्यकार्य दोन भागांत विभागले गेले असून पिलर्स ऑफ सोसायटीनंतरची त्यांची अकरा नाटके विशेष सरस आणि परिणामकारक आहेत.	Ebsen yanche natyakarya don bhagant vibhagale gele asuna peelers of societynantarachi tyanchi akara natake vishes saras ani parinamakaraka ahet.
हँडल्ड द बॉल	Handle the ball
विज्ञानाचा प्रसार प्रामुख्याने मराठी भाषेतून करण्याच्या उद्देशाने स्थापन झालेल्या मराठी विज्ञान परिषदेकडून भरीव कार्य करण्यात आले आहे.	vidnyanaca prasar pramukhyane marathi bhasetun karanyacya uddeshane sthapan jhalelya marathi vidnyan parishadekadun bhariva karya karanyat ale ahe.
