हेपेटाइटिस	hepatitis
</s>	</s>
योगी	yogi
असूनही	asunahi
चांगदेवांमध्ये	changdevanmadhye
आत्मज्ञानाची	aatmadhyanachi
आणि	ani
गुरुकृपेची	gurukrupechi
कमतरता	kamtarta
आहे	ahe
असे	ase
निवृत्तीनाथांच्या	nivruttinathanchya
लक्षात	lakshat
आले	aale
</s>	</s>
धर्मयज्ञ	dharmyagna
</s>	</s>
ननाणेशास्त्र	nananeshashtra
</s>	</s>
ग्रंथाक्षर	granthakshar
</s>	</s>
रस	ras
शक्यतो	sahkyato
काचेच्या	khachechya
पेल्यात	pelyat
ग्राहकांना	grahkanna
पिण्यासाठी	pinyasathi
दिला	dila
जातो	jato
</s>	</s>
गौमी	gowmi
सलाम	salam
हे	he
मालदीव	maldiv
या	ya
देशाचे	deshache
राष्ट्रगीत	rashtrageet
आहे	aahe
</s>	</s>
आत्माराम	atmaram
कृष्णाजी	krushnaji
सावंत	sawant
</s>	</s>
श्रीनिवास	shrinivas
कुलकर्णी	kulkarni
हे	he
इन्फोसिसचे	infosysche
नारायण	narayan
मूर्ती	murti
यांच्या	yanchya
पत्‍नी	patni
सुधा	sudha
मूर्ती	murti
यांचे	yanche
भाऊ	bhau
आहेत	aahet
</s>	</s>
अफ्रिका	aafrika
व	va
मध्य	madya
पूर्वचा	purvcha
काही	kahi
काळ	kal
दौरा	doura
केल्यावर	kelyavar
व	va
हज	haj
पूर्ण	purn
केल्यावर	kelyavar
त्याला	tyala
एल	el
हज	haj
मलिक	malik
ए	a
शाबाझ	shabaz
हे	he
नाव	nav
मिळाले	milale
</s>	</s>
कुलदीप	kuldeep
पवार	pawar
मूळचे	mulche
कोल्हापूरचे	kolhapurche
</s>	</s>
बाबासाहेब	babasaheb
आंबेडकर	ambedkar
अध्यक्ष	adhyksh
होते	hote
</s>	</s>
उत्तर	uttar
भारतातील	bhartatil
राज्यांमध्ये	rajyanmadhye
ग्रामीण	gramin
भागातील	bhagatil
लोक	loek
याला	yala
आखें	ankhe
हीरे	hire
किंवा	kinva
हिन्यूरे	hinewre
या	ya
नावाने	navane
ओळखतात	aolakhatat
</s>	</s>
भूकंपाती	bhukampat
लहरींचा	laharincha
भूगर्भशास्त्रज्ञांचा	bhugarbhshastradnyancha
अभ्यास	abhyas
केला	kela
जातो	jato
</s>	</s>
ब्रह्मघोटाळा	brahamghotala
</s>	</s>
तव	tav
चरणी	charani
ही	hi
अञ्जली	anjali
</s>	</s>
तिथे	tithe
समर्थांनी	samarthanni
प्रभू	prabhu
रामचंद्रांचे	ramchandranche
मंदिर	mandir
बांधले	bandhale
आणि	ani
उद्धवस्वामींची	udhavswaminchi
मठपती	mathpati
म्हणून	mhanun
नियुक्ती	niyukti
केली	keli
</s>	</s>
जीवनसुरभ	jivansurbh
</s>	</s>
चैत्रात	chaitrat
महती	mahati
कडुनिंबाची	kadunimbachi
</s>	</s>
डेटन	detan
केंटकी	kentki
</s>	</s>
हे	he
प्रारण	praran
म्हणजे	mhanje
वैश्विक	vaiswik
मायक्रोवेव्ह	microwave
पार्श्वभूमी	parswabhoomi
प्रारण	praran
पुढे	pudhe
विश्वामध्ये	vishwamadhe
प्रसार	prasar
पावत	pavat
राहिले	rahile
</s>	</s>
बुरहानपुर	burahanpur
हे	he
मध्य	madya
प्रदेश	pradesh
राज्यातील	rajyatil
मध्य	madya
आकाराचे	akarache
शहर	shahar
आहे	aahe
</s>	</s>
सामान्य	samanya
जनता	janata
आणि	ani
विद्यार्थी	vidyarthi
यांच्यात	yanchyat
विज्ञा्नाविषय़ी	vidnyanavishayi
कुतूहल	kutuhal
निर्माण	nirman
करणारी	karnari
महाराष्ट्रात	maharashtrat
काही	kahi
विज्ञान	vidnyan
केंद्रे	kendre
आहेत	aahet
</s>	</s>
दिल्लीभेटीपूर्वी	dilhibhetipurvi
त्यांनी	tyani
राज्यकारभारासाठी	rajyakarbharasathi
जे	je
अष्टप्रधानमंडळ	ashtpradhanmandal
स्थापले	sthapale
होते	hote
त्या	tya
मंडळाने	mandalane
राजांच्या	rajanchya
अनुपस्थितीमध्ये	anupasthitimadhye
देखील	dekhil
राज्याचा	rajacha
कारभार	karbhar
चोख	chokh
चालविला	chalvila
होता	hola
</s>	</s>
यास	yas
माख	makh
असेही	asehi
म्हणतात	mhantat
</s>	</s>
यशवंतराव	yashavantrao
मुकणे	mukane
कै	kai
</s>	</s>
त्याच्या	tyachya
मते	mate
अफगाणिस्तान	afganistan
Harriud	harriud
नदी	nadi
मूळ	mul
शरयू	sharayu
आहे	aahe
आणि	ani
अयोध्येत	ayodhyet
त्याच्या	tyachya
काठावर	kathavar
वसलेले	vaslele
होते	hote
</s>	</s>
सध्या	sadhya
पन्हाळा	panhala
हे	he
एक	ek
पर्यटनस्थळ	paryatansthal
म्हणून	mhanun
ओळखले	aolakhale
जाते	jate
</s>	</s>
एक	ek
गाडी	gadi
बाकी	baki
अनाडी	anadi
</s>	</s>
गव्हाच्या	gavhachya
पाच	pach
मुठीएवढ्या	muthievdhya
पेंढ्या	pedhya
तेथे	tethe
ठेवल्या	thevlya
जातात	jatat
</s>	</s>
गोलेबेक	golebek
हे	he
सहृदयी	sarhudayi
गृहस्थ	gruhasth
भेटतात	bhetat
</s>	</s>
आता	aata
विषम	visham
आकडी	aakadi
वर्षात	varshat
होणाऱ्या	honarya
या	ya
संमेलनास	sammelanas
सशुल्क	sashulk
उपस्थित	upasthit
राहण्याची	rahanyachi
कोणासही	konasahi
मुभा	mubha
असते	asate
</s>	</s>
या	ya
गडाची	gadachi
साधारणतः	sadharan
उंची	unchi
५९०	590
मीटर	miter
आहे	aaeh
</s>	</s>
ही	hi
खबरची	khabarchi
शाहनिशा	shahnisha
करण्यासाठी	karnyasathi
द्रोणाचार्य	dronacharya
सत्यवचनी	satyavachani
युधिष्ठिर	yudhisthir
कडे	kade
अश्वत्थामाचा	aswathamacha
वध	vadh
झाल्याची	zalyachi
बातमी	batmi
खरी	khari
आहे	aahe
का	ka
म्हणुन	mhanun
विचारतात	vichartat
</s>	</s>
साधनसंपदा	sadhansampada
व	va
पर्यावरण	paryavaran
अरुण	arun
राजाराम	rajaram
कुंभारे	kumbhare
</s>	</s>
माधवराव	madhavrao
लिमये	limye
कार्यक्षम	karyksham
आमदार	amdar
पुरस्कार	purskar
</s>	</s>
अशोक	ashok
पत्की	patki
</s>	</s>
पुढे	pude
गांधीजी	gandhiji
आणि	ani
कस्तुरबा	kasturba
यांना	yanna
अजून	ajun
चार	char
मुले	mule
झाली	zali
इ	e
</s>	</s>
हा	ha
विहिरीचा	vihiricha
एक	ek
प्रकार	prakar
आहे	ahe
</s>	</s>
गांधीजींचे	gandhijinche
असामान्य	asamanya
ने्तॄत्व	netrutwa
</s>	</s>
वेब	web
ब्राउझर	browser
वापरून	vaprun
ही	hi
पाने	pane
संगणकाच्या	sangankanchya
पडद्यावर	padyavar
पाहता	pahata
येतात	yetat
</s>	</s>
तू	tu
मदरबोर्ड	mothorboard
माझ्या	mazya
संगणकाचा	sangankacha
ही	hi
कवी	kavi
अरुण	arun
काळे	kale
लिखित	likhit
नंतर	nantar
आलेले	alele
लोक	lok
काव्यसंग्रहातील	kavyasangrahatil
कविता	kavita
आहे	aahe
</s>	</s>
बाबासाहेब	babasaheb
समता	samata
प्रतिष्ठान	pratisthan
नागपूर	nagpur
यांच्या	yanchya
तर्फे	tarfe
भरवले	bharvale
जाणार	janar
आहे	aahe
</s>	</s>
परभणी	parabhani
जिल्हा	jilha
साहित्य	sahitya
संमेलन	sammelan
सोनपेठ	sonpeth
</s>	</s>
तसेच	tasech
त्यामुळे	tyamule
होणारी	honari
हालचाल	halchal
मिळणारी	milnari
ऊर्जा	urja
व	va
गती	gati
तसेच	tasech
या	ya
सर्वांचा	sarvancha
आजुबाजुच्या	aajubajuchya
परिस्थितीशी	paristhitishi
असणारा	asnara
संबंध	sambandh
देखील	dekhil
अभ्यासला	abhyasala
जातो	jato
</s>	</s>
दिल्लीतील	dillitil
सीबीआय	cbi
कोर्टाने	courtane
यासंदर्भात	yasandarbhat
निर्णय	nirnay
दिला	dila
</s>	</s>
महादेवकरांनी	mahadevkaranni
ते	te
काम	kam
पत्करले	patkarale
</s>	</s>
रिसोड	resort
मधील	madhil
श्री	shri
आप्पास्वामी	aappaswami
संस्थान	sansthan
आसन	aasan
</s>	</s>
सज्जनगड	sajjangad
</s>	</s>
गुप्त	gupt
साम्राज्यातील	samrajyatil
राजांची	rajanchi
सोन्याची	sonyachi
नाणी	nani
यावर	yaver
त्यांचे	tyanche
विशेष	vishesh
संशोधन	sanshodhan
होते	hote
</s>	</s>
ह्या	hya
यादीला	yadila
प्रोग्रॅम	programme
म्हटले	mhatale
जाते	jate
</s>	</s>
काश्मीर	kashmir
</s>	</s>
विषुववृत्ताच्या	vishuvruttachya
दोन्ही	donhi
बाजूंना	bajunna
पसरलेला	pasarlela
आफ्रिका	aafrika
हा	ha
खंड	khand
आहे	aahe
</s>	</s>
चितकारसमग्र	chitkarsamagra
</s>	</s>
तीय्या	tiyya
खलेटे	khalete
व्हतेस	vhates
</s>	</s>
सर्वांनी	sarvanni
विधीमंडळ	vidhimandal
कामकाजात	kamkajat
भाग	bhag
घेतला	ghetla
</s>	</s>
थाई	thai
नववर्षाचा	navvarshacha
दिवस	divas
दरवर्षी	darvarshi
१३	13
एप्रिलला	aprilala
असतो	asto
परंतु	parantu
सुट्टीचा	sutticha
काळ	kal
१४-१५	14-15
एप्रिल	april
मध्येही	madhyehi
असतो	asto
</s>	</s>
आपला	aapla
देह	deh
क्रूर	krur
इंग्रजांच्या	engrajanchya
हाती	hati
लागू	lagu
नये	naye
अशी	ashi
त्यांची	tyanchi
इच्छा	echha
होती	hoti
</s>	</s>
राग	rag
जयजयवंती	jayjayvanti
हा	ha
हिंदुस्तानी	hindustani
संगीतातील	sangitatil
एक	ek
राग	rag
आहे	ahe
</s>	</s>
अण्णाजी	annaji
दत्तो	datto
:	:
शिवाजीचे	shivajiche
वाकनीस	vaknis
नंतर	nantar
सुरनीस	surnis
आणि	ani
शेवटी	shevti
अमात्य	amatya
</s>	</s>
या	ya
लेखात	lekhat
वर्णन	varnan
केलेल्या	kelelya
वाफे	vafe
प्रसारांच्या	prasaranchya
इतर	etar
पद्धती	padhati
अस्तित्वात	astitwat
आहेत	ahet
जरी	jari
पृथ्वीवरील	pruthwivaril
लहरींच्या तुलनेत	laharichya
तुलनेने	tulnene
किरकोळ	kirkol
महत्त्व	mahatwa
असले	asle
तरी	tari
ते	te
एस्टेरोझिस्मॉलॉजीच्या	asterozysmalogychya
बाबतीत	babtit
महत्त्वाचे	mahatwache
आहेत	ahet
</s>	</s>
महाराष्ट्राच्या	maharashtrachya
नारदीय	narniya
कीर्तनाच्या	kirtanachya
परंपरेमध्ये	paramparemadhye
हा	ha
अभिनव	abhinav
प्रयोग	prayog
करणार्‍या	karnarya
कीर्तनकार	kirtankar
डॉ	dr
</s>	</s>
एकवीस	ekvis
वर्षाचा	varshachya
पदव्युत्तर	padvyuttar
वर्गाचा	vargacha
तर	tar
एकूण	ekun
पंचवीस	panchvis
वर्षाचा	varshacha
अध्यापनाचा	dharmadhikari
अनुभव	anubhav
याखेरीज	yakherij
य	ya
</s>	</s>
मुंबई	mumbai
उच्च	uchha
न्यायालयाचे	nyayalayache
मुख्य	mukhya
न्यायाधीश	nyayadhish
चंद्रशेखर	chandrashekhar
धर्माधिकारी	dharmadhikari
हे	he
दादा	dada
धर्माधिकारींचे	dharmadhikarinche
सुपुत्र	suputra
</s>	</s>
गुरू	guru
करणे	karane
शिष्यत्व	shishyatwa
घेणे	ghene
याचा	yacha
अर्थ	arth
आपले	aapale
स्वतःचे	swatache
सर्व	sarv
विसरून	visrun
जाणे	jane
</s>	</s>
अरबांना	arbanna
झामोरीनकडे	zamorinkade
मान	maan
होता	hota
</s>	</s>
तसेच	tasech
त्याने	tyane
जिझिया	jiziya
कर	kar
परत	parat
लागू	lagu
केला	kela
</s>	</s>
मी	mi
दिवाणी	diwani
</s>	</s>
एन	n
कॉलेज	collage
ऑफ	off
होम	home
सायन्स	sience
हे	he
महिला	mahila
विद्यापीठाशी	vidyapithashi
संलग्न	salagn
महाविद्यालय	mahavidyalaya
आहे	ahe
</s>	</s>
१९६८	1968
साली	sali
गायक-गिटारवादक	gayak-gitarvadak
डेव्हिड	devid
गिल्मोर	gilmor
या	ya
चमूत	chamut
दाखल	dakhal
झाला	zala
</s>	</s>
जैनांमधले	jainamadhale
ज्यूंमधले	jyumadhale
आणि	ani
चीन	chin
व	va
जपान	japan
येथील	yethil
अंत्यविधी	antyavidhi
व	va
अंत्यसंस्कार	antyasanskar
</s>	</s>
१९७३	1973
या	ya
कालखंडात	kalkhandat
पंतप्रधान	pantpradhan
असलेल्या	aslelya
कित्तिकाचोर्णाने	kitteekachornane
दशकभर	dashakbhar
लष्करी	lashkari
राजवट	rajvat
चालवली	chalvali
</s>	</s>
प्रत्यक्ष	pratyaksh
मराठी	marathi
वळणाचे	valnache
शब्द	shabdh
इ	e
</s>	</s>
भाद्रपदात	bhadrapadat
येतो	yeto
गणपतीचा	ganpaticha
सण	san
</s>	</s>
१८५४	1854
रोजी	roji
झाशीच्या	zashichya
जनतेला	jantela
उद्देशून	uddeshun
जाहीरनामा	jahirnama
काढण्यात	kadhanyat
आला	aala
</s>	</s>
तेव्हा	tevha
जवाहरलाल	javaharlal
नेहरूंच्या	neharunchya
अध्यक्षतेखाली	adhyakshtekhali
पक्षाचे	pakshache
लखनौ	lakhnau
येथे	yethe
अधिवेशन	adhiveshan
चालू	chalu
होते	hote
</s>	</s>
भौतिकशास्त्रात	bhoutikshashtrat
वस्तुमानहीन	vastumanhin
कण	kan
हे	he
अशाप्रकारचे	ashaprakarache
मूलभूत	mulbhut
कण	kan
असतात	astat
ज्यांचे	janche
निश्चल	nichhal
वस्तुमान	vastuman
शून्य	shunya
असते	aste
</s>	</s>
ऊंसमळा	uusmala
</s>	</s>
सुखाचा	sukhacha
शोध	shodh
</s>	</s>
हठ	hat
योग	yog
ही	hi
एक	ek
विशिष्ट	vishisht
योगविद्या	yogvidya
आहे	ahe
</s>	</s>
राग	rag
गोरख	gorakh
कल्याण	kalyan
हा	ha
भारतीय	bhartiy
शास्त्रीय	shastriya
संगीतातील	sangitatil
एक	ek
राग	rag
आहे	ahe
</s>	</s>
त्यात	tyat
त्यांनी	tyani
यश	yash
मिळविले	milavale
</s>	</s>
एक	ek
अश्रू	ashru
कविता	kavita
</s>	</s>
या	ya
बस	bus
पकडून	pakdun
आपल्याला	aaplyala
शिरगाव	shirgaon
स्टॉपवर	stopvar
उतरावे	utrave
लागते	lagte
</s>	</s>
नाटक	natak
रंगामंचावर	rangmanchaver
आले	aale
की	ki
ते	te
पाहून	pahun
त्यातील	tyatil
कलागुणांची	kalagunanchi
दखल	dakhal
घेऊन	gheun
त्या	tya
नाटकाचे	natkanche
परीक्षण	parikshan
करणारेही	karnarehi
अनेकजण	anekjan
आहेत	ahet
</s>	</s>
इतिहास	etihas
हिंदी	hindi
आणि	ani
डॉ	dr
</s>	</s>
अशी	ashi
भली	bhali
माणसे	manse
यांक्लीला	yaklila
भेटतात	bhatatat
</s>	</s>
हा	ha
उजव्या	ujavya
हाताने	hatane
फलंदाजी	phalandaji
व	va
डाव्या	davya
हाताने	hatane
फिरकी	firaki
गोलंदाजी	golandaji
करतो	karato
</s>	</s>
शाहजहांमुळे	shahjahanmule
या	ya
शहरामध्ये	shaharamadhye
बराच	barach
वेळ	vel
घालवला	ghalvala
आणि	ani
शाही	shahi
किलांना	kilanna
मदत	madat
केली	keli
</s>	</s>
तेथेही	tethehi
स्वस्थ	swasth
न	na
बसता	basta
लक्ष्मीबाईंनी	laxmivaenni
आपल्या	aaplya
सैन्याची	sainyachi
कवायत	kavayat
नियमित	niyamit
चालू	chalu
ठेवली	thevli
</s>	</s>
बडे	bade
दिलवाला	dilvala
हिंदी	hindi
</s>	</s>
महंत	mahant
शिवाजी	shivaji
महाराज	maharaj
नारायणगड	narayangad
</s>	</s>
१९६१	1961
मध्ये	madhye
झालेल्या	zalelya
करारानुसार	kararanusar
अंटार्क्टिकाला	antartikala
अराजनैतिक	arajnaitik
वैज्ञानिक	vaidnyanik
अभ्यासाकरिता	abhyasakarita
राखून	rakhun
ठेवण्यात	thevnyat
आले	aale
</s>	</s>
चार	char
दरवाजा	darvaja
मार्गे	marge
कोल्हापूर	kolhapur
शहरातून	shaharatun
एस	s
टी	t
बसने	busne
किंवा	kinva
खाजगी	khajgi
वाहनाने	vahnane
किल्ल्यावर	killyaver
जाता	jata
येते	yete
</s>	</s>
महर्षी	maharshi
वेदव्यास	vedvyas
कादंबरी	kadambari
लेखक	lekhak
-	-
सुधाकर	sudhakar
शुक्ल	sukla
</s>	</s>
च्या	chya
अंतरावर	antaravar
आहे	ahe
</s>	</s>
४००मध्ये	400madhye
भानू	bhan
कुळाने	kulane
पांडुरंग	pandurang
पल्लीत	pallit
मुख्य	mukhya
स्थानावर	sthanavar
पुषण	pushan
सुर्य	surya
व	va
विष्णू	vishnu
विठ्ठल	vitthal
या	ya
देवतेची	devtechi
एकञीत	ektrit
चतुर्भुज	chaturbhuj
मुर्ती	murti
स्थापण	sthapan
केली	keli
होती	hoti
</s>	</s>
हा	ha
सामना	samna
अनिर्णीत	anirnnit
राहिला	rahila
</s>	</s>
हा	ha
वृक्ष	vruksh
मूळचा	mulcha
भारतातील	bhartatil
असून	asun
महाराष्ट्र	maharashtra
केरळ	keral
तमिळनाडू	tamilnadu
व	va
कर्नाटक	karnatak
राज्यांतील	rajyatil
सदाहरित	sadaharit
वनांत	vanant
आढळतो	aadhalto
</s>	</s>
या	ya
हेमाडपंथी	hemadpanthi
मंदिराच्या	mandirachya
भिंती	bhinti
व	va
दारांवर	daranvar
मनुष्यांच्या	manushyanchya
व	va
हत्तींच्या	hattichya
प्रतिमा	pratima
कोरल्या	korlya
आहेत	aahet
</s>	</s>
मलबार	malbar
समुद्रकिनार्यावरील	samudrakinaryavaril
भारतीय	bhartiya
शासकांनी	shashkanni
अल्मेडाच्या	almedachya
या	ya
अरेरावीबद्दल	areravibaddal
त्याला	tyala
जाब	jab
विचारला	vicharala
तेव्हा	tevha
अल्मेडाने	almedane
त्यांनाही	tyannahi
प्रत्युत्तर	pratyuttar
दिले	dile
</s>	</s>
रोगप्रतिकारक	rogpratikarak
शक्ती	shakti
चांगली	changali
असते	aste
</s>	</s>
जागतिकीकरण	jagteekikaran
आणि	ani
मराठी	marathi
कविता	kavita
ह्या	hya
महत्त्वपूर्ण	mahatwapurn
ग्रंथाचे	granthache
संपादन	sampadan
डॉ	dr
</s>	</s>
दादासाहेब	dadasaheb
पित्रे	pitre
कै	kai
</s>	</s>
तसेच	tasech
रंग	rang
दे	de
बसंती	basanti
या	ya
चित्रपटातसुद्धा	chitrapatatsudhha
आकाशवाणीच्या	akashvanichya
प्रसारणाचा	prasarnacha
उपयोग	upayog
केल्याचे	kelyache
दाखवले	dakhavale
आहे	ahe
</s>	</s>
त्यांची	tyanchi
जातिनुसार	jatinusar
उतरंडही	utrandahi
आहे	ahe
</s>	</s>
अंश	ansh
म्हणजे	mhanje
पौर्णिमेच्या	pournimechya
चंद्राएवढे	chandraevade
आहे	ahe
</s>	</s>
विंध्यगिरी	vindyagiri
एफ४२	f42
ही	hi
भारतीय	bhartiya
नौदलाची	naudalachi
निलगिरी	nilgiri
प्रकारची	prakarachi
फ्रिगेट	frigate
आहे	ahe
</s>	</s>
जुमा	juma
शुक्रवार	shukravar
</s>	</s>
सन	san
१९२५पासून	1925pasun
कित्येक	kityek
वर्षे	varshe
मॅट्रिक्युलेशन	matriculation
व	va
बी.टी	b.t
परीक्षांकरिता	parikshakarita
मुंबई	mumbai
विद्यापीठाकडून	vidyapithakadun
परीक्षक	parikshak
म्हणून	mhanun
नेमणूक	nemnuk
</s>	</s>
फ्रांसिस	fransis
बेकन	bekan
</s>	</s>
स्पॅनिश	spanish
काँकिस्तादोरांनी	cokisthadoranni
स्पेनमध्ये	spenmadhye
नेलेला	nelela
अन्नप्रकारांमध्ये	annaprakaranmadhye
ग्वाकामोले	gwakamole
हा	ha
सॉसमध्ये	sosmadhye
अ‍व्होकॅडो	avhokado
मुरवून	murvoon
केलेला	kelela
अन्नप्रकार	annaprakar
१६व्या	16vya
शतकातील	shatakatil
अस्तेक	astek
पाककृतींमधला	pakakrutimadhala
एक	ek
लोकप्रिय	lokpriya
प्रकार	prakar
होता	hota
</s>	</s>
अनुपपुर	anupapur
हे	he
भारताच्या	bharatachya
मध्यप्रदेश	madhyapradesh
राज्यातील	rajyatil
एक	ek
शहर	shahar
आहे	ahe
</s>	</s>
बाळासाहेब	balasaheb
माने	mane
हे	he
इचलकरंजीचे	ichalkaranjiche
माजी	maji
खासदार	khasadara
होते	hote
</s>	</s>
यांना	yanna
पवित्र	pavitra
मानून	manun
संरक्षण	sanrakshan
देण्यात	denyata
आलेले	alele
आहे	ahe
</s>	</s>
इब्सेन	ebsen
यांचे	yanche
नाट्यकार्य	natyakarya
दोन	don
भागांत	bhagant
विभागले	vibhagale
गेले	gele
असून	asuna
पिलर्स	peelers
ऑफ	of
सोसायटीनंतरची	societynantarachi
त्यांची	tyanchi
अकरा	akara
नाटके	natake
विशेष	vishes
सरस	saras
आणि	ani
परिणामकारक	parinamakaraka
आहेत	ahet
</s>	</s>
हँडल्ड	handle
द	the
बॉल	ball
</s>	</s>
विज्ञानाचा	vidnyanaca
प्रसार	prasar
प्रामुख्याने	pramukhyane
मराठी	marathi
भाषेतून	bhasetun
करण्याच्या	karanyacya
उद्देशाने	uddeshane
स्थापन	sthapan
झालेल्या	jhalelya
मराठी	marathi
विज्ञान	vidnyan
परिषदेकडून	parishadekadun
भरीव	bhariva
कार्य	karya
करण्यात	karanyat
आले	ale
आहे	ahe
</s>	</s>
वंगभंग	vangabhanga
चळवळ	calavala
ही	hi
१६	16
ऑक्टोबर	octoberla
१९०५	1905
रोजी	roji
लॉर्ड	lord
कर्झनने	karjhanane
केलेल्या	kelelya
बंगालच्या	bangalachya
फाळणीच्या	phalanichya
विरोधात	virodhat
सुरू	suru
केलेली	keleli
चळवळ	calavala
होती	hoti
</s>	</s>
यानंतर	yanantar
ते	te
कादंबरी	kadambari
लिखाणाकडे	likhanakade
वळले	valale
</s>	</s>
आकाशवाणीसाठी	akasavanisathi
अनेक	aneka
श्रुतिकांचे	shrutikanche
आणि	ani
करमणुकीच्या	karamanukichya
कार्यक्रमांच्या	karyakramanchya
सादरीकरणाचे	sadarikaranace
लेखन	lekhan
</s>	</s>
गोळी	goli
लागून	lagun
रक्तस्राव	raktashrava
होत	hot
असतानाही	asatanahi
रूझवेल्टने	rujhaveltane
आपले	apale
भाषण	bhasana
पूर्ण	purna
केले	kele
</s>	</s>
खुला	khula
रंगमंच	rangamancha
</s>	</s>
ओंकारेश्वर	onkaresvar
मंदिरामध्ये	mandiramadhye
मात्र	matra
कीर्तिमुख	kirtimukh
कळसामध्ये	kalasamadhye
आहे	ahe
</s>	</s>
त्या	tya
रामा	rama
एक	eka
ऐतिहासिक	eetihashika
आकृती	akurti
इ	i
</s>	</s>
त्यात	tyat
कोठेही	kothehi
कृत्रिमता	krutrimata
किंवा	kinva
नाटकीपणा	natakipana
नसतो	nasato
म्हणूनच	mhanunacha
त्यांचे	tyance
वृत्तनिवेदन	vruttanivedan
लोकांना	lokanna
आवडते	avadate
</s>	</s>
यामुळे	yamule
ते	te
पीक	pika
पिवळे	pivale
पडते	padate
वांग्यांची	vangyanchi
वाढ	vadha
होत	hota
नाही	nahi
</s>	</s>
१९४७च्या	1947cya
भारत-पाकिस्तान	bharat-pakistan
युद्धाच्या	yuddhacya
पार्श्वभूमीवरदेखील	parshvabhumivaradekhil
भारत	bharat
सरकारचा	sarakaracha
फाळणी	phalani
करारानुसार	kararanusar
ठरलेले	tharalele
५५	55
कोटी	koti
रूपये	rupaye
पाकिस्तानला	pakistanala
न	na
देण्याचा	denyaca
निर्णय	nirnaya
त्यांना	tyanna
आवडला	avadala
नाही	nahi
</s>	</s>
अगदी	agadi
लहान	lahan
प्रमाणात	pramanata
कुक्कुटपालन,बकरीपालन	kukkutapalan, bakaripalan
सुध्दा	suddha
ते	te
करतात	karatat
</s>	</s>
हे	he
वनविभागाकडून	vanavibhagakadun
जतन	jatan
केलेली	keleli
आहेत	ahet
</s>	</s>
२०१७	2017
मध्ये	madhye
बालानगर	balanagar
धाकेफळ	dhakephal
मावसगव्हाण	mavasagavhan
इत्यादी	ityadi
गावांमधील	gavammadhil
कोरडवाहू	koradavahu
शेती	sheti
उद्ध्वस्त	uddhvasta
झाली	jhali
आहे	ahe
</s>	</s>
हा	ha
सिद्धांत	siddhant
असे	ase
सांगतो	sangato
की	ki
प्रत्येक	pratyek
कॉम्प्लेक्स	complex
बहुपदीस	bahupadis
निदान	nidan
एकतरी	ekatari
उकल	ukal
असतेच	asatecha
</s>	</s>
तेव्हा	tevha
संगमेश्वर	sangamesvar
तालुक्याचे	talukyache
मुख्यालय	mukhyalay
देवरुख	devarukha
या	ya
गावात	gavata
हलविले	halavile
आणि	ani
तालुक्याचे	talukyache
मुख्य	mukhya
ठिकाण	thikana
देवरुख	devarukha
हे	he
झाले	jhale
</s>	</s>
कवीने	kavine
बाबासाहेबांच्या	babasahebanchya
असामान्यतेला	asamanyatela
संगणकीय	sanganakiya
प्रतिमांनी	pratimanni
व्यक्त	vyakt
केले	kele
आहे	ahe
</s>	</s>
चर्च	church
फादर्स	fathers
</s>	</s>
मायमराठी	maymarathi
</s>	</s>
जाहिरात	jahirata
या	ya
एकाच	ekach
शब्दाभोवती	sabdabhovati
ही	hi
दुनिया	duniya
फिरताना	phiratana
दिसते	disate
</s>	</s>
खोतांनी	khotanni
राज्य	rajya
सरकारकडे	sarakarakade
मुख्यमंत्री	mukhyamantri
कोट्यातून	kotyatuna
घर	ghar
मागितले	magitale
होते	hote
</s>	</s>
त्यांच्या	tyancya
उचाट	uchat
या	ya
कादंबरीस	kadambaris
२०१४	2014
चा	ca
साहित्य	sahitya
अकादमी	akadami
पुरस्कार	puraskar
मिळाला	milala
</s>	</s>
उत्तराखंड	uttarakhandha
विधानसभा	vidhanasabha
हे	he
भारताच्या	bharatachya
उत्तराखंड	uttarakhanda
राज्याच्या	rajyachya
विधिमंडळाचे	vidhimandalace
एकमेव	ekameva
सभागृह	sabhagruha
एक	eka
आहे	ahe
</s>	</s>
मराठी	marathi
दिल्ली	delhi
</s>	</s>
तसेच	tasech
कंधार	kandhar
येथे	yethe
पुरातत्त्वीय	puratattviy
उत्खनन	utkhanan
करून	karun
तेथील	tethila
क्षेत्रपालाच्या	khsetrapalacya
विशालकाय	visalakay
मूर्तीवर	murtivar
प्रकाशझोत	prakashajhota
टाकला	takala
</s>	</s>
इंग्लंडमध्ये	englandmadhye
कायद्याचा	kayadyacha
अभ्यास	abhyas
करून	karun
ते	te
बॅरिस्टर	barrister
बनले	banale
आणि	ani
हिंदुस्थानात	hindusthanat
परत	parat
येऊन	yeun
वकिली	vakili
करू	karu
लागले	lagale
</s>	</s>
त्यांना	tyanna
जाई	jai
आनंद	ananda
गौरी	gauri
अशी	ashi
तीन	tin
अपत्ये	apatye
झाली	jhali
</s>	</s>
प्रकाशभाईनी	prakasabhaini
साने	sane
गुरुजी	guruji
कथा	katha
मालेच्या	malecya
माध्यमातून	madhyamatun
गुरुजींचे	gurujinche
विचारधन	vicaradhan
संपूर्ण	sampurna
भारतभर	bharatabhar
पसरविले	pasaravile
</s>	</s>
नेमून	nemun
दिलेल्या	dilelya
कामात	kamat
चूक	chuk
केल्यामुळे	kelyamule
एक	eka
