हेपेटाइटिस-	hepatitis-
हे	he
स्टारडॉक	Stardock
या	ya
कंपनीचे	companyche
एक	ek
संगणक	sanganka
अनुकूलन	anukulun
सॉफ्टवेअर	software
आहे.	ahe.
</s>	</s>
तोरे	Torre
पिकासो	Picasso
वरील	varil
हल्ला	halla
टळला.	talala.
</s>	</s>
भूपाळी	Bhupali
हा	ha
मराठी	Marathi
पारंपरिक	paramparik
संगीतप्रकार	sangeetprakar
आहे.	ahe.
</s>	</s>
बहुतेक	bahutek
समाजात मध्ये	samajanmadhye
संगणक	sangank
प्रणालींवर	pranalivar
वाढत	vadhata
विश्वास	vishvas
वाढत	vadhatah
महत्व	mahatva
आहे.	ahe.
</s>	</s>
पांढऱ्या	pandhrya
शेपटीचे	shepatiche
मुंगूस	mungus
</s>	</s>
बुर्हानपुर	Burhanpur
खानदेश	Khandesh
सल्तनतीची	saltanatichi
राजधानी	rajdhani
बनली.	banali.
</s>	</s>
दक्षिण	dakshin
आशिया	Ashia
व	va
आग्नेय	agneya
आशियात	ashiyat
हे	he
केशाभूषण	keshabhushan
सहसा	sahasa
स्त्रियांमध्ये	striyanmadhe
प्रचलित	prachalit
असलेल्या	aslelya
वेणी,	veni,
अंबाडा	ambada
इत्यादी	ityadi
केशरचनांमध्ये	keshrachananmadhe
गुंफले	gumphale
जाते.	jate.
</s>	</s>
बोधिसत्त्व	bodhisatva
प्रतिष्ठान,	pratishthan,
शरदनगर,	Sharadnagar,
चिंचवड(पुणे)	Chinchwad(Pune)
</s>	</s>
मुद्रित	mudrit
स्वरूपात	swarupat
न	na
आलेली	aleli
काही	kahi
स्फुट	sphoot
पदे,	pade,
अभंग	abhanga
आणि	ani
ओव्या,	ovya,
वगैरे.	vagaire.
</s>	</s>
जेव्हा	jevha
ही	hi
खबर	khabar
द्रोणाचार्यला	dronacharyala
समजते	samajate
ते	te
अविश्वासाने	avishvasane
अचंबित	achambit
होतात.	hotat.
</s>	</s>
मारुतीच्या	marutichya
खाली	khali
तळघर	talghar
असून	asun
तेथे	tethe
रामजी	Ramaji
बाबा	baba
साधना	sadhana
करत	karat
असत.	asat.
</s>	</s>
ह्या	hya
नदीने	nadine
व्हेनेझुएला	Venezuela
व	va
कोलंबिया	Colambia
देशांची	deshanchi
सीमा	seema
आखली	akhali
आहे.	ahe.
</s>	</s>
पंजाब,	Panjab,
पाकिस्तान	Pakistan
मधील	madhil
एक	ek
जिल्हा	jilha
आहे.	ahe.
</s>	</s>
प्रथम	pratham
कात	kat
कुटून	kutun
त्याची	tyachi
वस्त्रगाळ	vastragal
पूड	pud
करतात.	kartat.
</s>	</s>
परमवीर	paramveer
या	ya
दूरदर्शनावरील	durdarshanvaril
मालिकेमुळे	malikemule
यांना	yanna
भरपूर	bharpur
लोकप्रियता	lokpriyata
लाभली.	labhali.
</s>	</s>
ट्रायबल	Tribal
म्युझियम	Museum
</s>	</s>
गुञ्जारव	Gujjarav
या	ya
संस्कृत	Sanskrit
त्रैमासिकाचे	traimasikache
४५हून	45hun
अधिक	adhik
वर्षे	varshe
संपादक	sampadak
(१९८६पासून	(1986 pasun
मुख्य	mukhya
संपादक).	sampadak).
</s>	</s>
रुद्राक्षाच्या	rudrakshachya
मणींचा	manincha
वापर	vapar
करीत	karit
ओम	om
नमः	namah
शिवायचा	shivaycha
जाप	jap
केला	kela
जातो.	jato.
</s>	</s>
म्हशीच्या	mhashichya
दुधात	dudhat
गायीच्या	gayichya
दुधापेक्षा	dudhapeksha
स्निग्ध	snigdha
पदार्थ	padartha
जास्त	jasta
असतात	asatat
त्यामुळे	tyamule
त्याचे	tyache
तुप	tup
जास्त	jasta
उतरते.	utarte.
</s>	</s>
त्याला	tyala
सर्व	sarva
बाजूंनी	bajunni
कर्दळीच्या	kardalichya
पानांनी	pananni
लपेटले.	lapetale.
</s>	</s>
एका	eka
पदाचा	padacha
दुसऱ्या	dusrya
पदाशी	padashi
संनिकर्ष.	sanikarsha
</s>	</s>
त्यानंतर	tyanantar
सदाशिवराव	sadashivrao
शाहू	Shahu
महाराजांकडे	maharajankade
दौलतीचे	daulatiche
शिक्षण	shikshan
घेण्यासाठी	ghenyasathi
दाखल	dakhal
झाले.	zale.
</s>	</s>
गदिमा	Gadima
पुरस्कार	puraskar
</s>	</s>
उपवासाचे	upvasachya
दिवशी	divashi
याचा	yacha
खाद्य	khadya
म्हणुन	mahnaun
वापर	vapar
अनेक	anek
ठिकाणी	thikani
होतो.	hoto.
</s>	</s>
डॉ.पांडुरंग	Dr.Pandurang
सदाशिव	Sadashiv
खानखोजे	Khankhoje
</s>	</s>
१९८०	1980
च्या	chya
लोकसभा	loksabha
निवडणुकीत	nivadnukit
महाराष्ट्र	Maharashtra
राज्यातील	rajyatil
उत्तर	uttar
मध्य	madhya
मुंबई	Mumbai
लोकसभा	loksabha
मतदारसंघातून	matadarsanghatun
लोकसभेवर	loksabhevar
निवडून	nivdunn
गेल्या.	gelya.
</s>	</s>
१९३०	1930
मध्ये	madhye
मिठावरील	mithavaril
कराच्या	karachya
विरोधात	virodhat
सत्याग्रहाची	satyagrahachi
घोषणा	ghoshana
केली	keli
आणि	ani
त्याची	tyachi
परिणती	parinati
प्रसिद्ध	prasiddh
दांडी	dandi
यात्रेत	yatret
झाली.	zali.
</s>	</s>
विणीच्या	vinichya
हंगामानंतर	hangamanantar
हे	he
पक्षी	pakshi
पिवळट	pivalat
उदी	udi
व	va
पांढरे	pandhare
दिसतात.	diistat.
</s>	</s>
डॉ.	Dr.
नॉर्मन	Norman
अर्नेस्ट	Ernest
बोरलॉग	Borlog
(अमेरिका)	(America)
</s>	</s>
राजगीर	Rajgir
(अधिकृत	(adhikrut
नाव:	nav:
गिरीवराज)	Girivraj)
हे	he
बिहार	Bihar
मधील	madhil
नालंदा	Nalanda
जिल्ह्यातील	jilhyatil
एक	ek
शहर	shahar
व	va
अधिसूचित	adhisuchit
क्षेत्र	kshetra
आहे.	ahe.
</s>	</s>
इंग्रजांचे	ingranjanche
भारतात	bhartat
अगमना	aagmana
नन्तर	nantar
किंवा	kinva
त्या	tya
सोबतच	sobatacha
या	ya
निघन्टुची	nighantuchi
निर्मिति	nirmiti
त्यामुळे	tyamule
काही	kahi
नवीन	navin
वनस्पति	vanaspati
चा	cha
अंतर्भाव	antarbhav
यामध्ये	yamadhye
दिसतो	disato
जसे	jase
चोपचीनी,	chopchini,
अक्कारकरभ	akkarkarabh
इत्यादी.	ityadi.
</s>	</s>
बलिया	Baliya
भारताच्या	bhartachya
उत्तर	Uttar
प्रदेश	Pradesh
राज्यातील	rajyatil
एक	ek
शहर	shahar
आहे.	ahe.
</s>	</s>
या	ya
क्रिया	kriya
घडायला	ghadayala
किती	kiti
वेळ	vel
लागतो,	lagto,
क्रियेचा	kriyecha
वेग	veg
किती	kiti
आहे,	ahe,
या	ya
क्रिया	kriya
कोणकोणत्या	konkontya
गुणधर्मांनी	gundharmani
प्रभावित	prabhavit
होतात.	hotat.
</s>	</s>
एरव्ही	eravi
खेळताना	kheltana
झालेल्या	zalelya
गोलास	golas
(फील्ड	(field
गोल)	goal)
२	2
गुण	gun
असतात.	asatat.
</s>	</s>
दुर्गापूर	Durgapur
</s>	</s>
मुलायम	Mulayam
सिंग	Singh
यादव	Yadav
हे	he
त्यांच्या	tyanchya
मुलाने	mulane
-	-
अखिलेश	Akhilesh
यादव	Yadav
याने	yane
-	-
पक्षातून	pakshatun
हकालपट्टी	hakalpatti
करेपर्यंत	kareparyant
या	ya
पक्षाचे	pakshache
अध्यक्ष	adhyaksha
होते.	hote.
</s>	</s>
ही	hi
उजव्या	ujavya
हाताने	hatane
फलंदाजी	falandaji
करते.	karate.
</s>	</s>
मात्र	matra
अधिक	adhik
राखी	rakhi
रंगाची	rangachi
असते.	asate.
</s>	</s>
देश	desh
पारतंत्र्यात	partantryat
असताना	asatana
कर्जत	Karjat
तालुक्यात	talukyat
आणि	ani
त्यातही	tyatahi
माथेरानमध्ये	matheranmadhye
ब्रिटिशांविरोधात	britishanvirodhat
मोठी	mothi
चळवळ	chalval
उभी	ubhi
राहिली.	rahili.
</s>	</s>
गया	Gaya
हे	he
भारत	Bharat
देशाच्या	deshachya
बिहार	Bihar
राज्यामधील	rajyamadhil
गया	Gaya
जिल्ह्याचे	jilhyache
मुख्यालय	mukhyalay
व	va
पाटणा	Patana
खालोखाल	khalokhal
राज्यातील	rajyatil
दुसऱ्या	dusrya
क्रमांकाचे	kamankache
मोठे	mothe
शहर	shahar
आहे.	ahe.
</s>	</s>
होमरूल	homrul
चळवळीसाठी	chalwalisathi
उर्वरित	urvarit
भारत	Bharat
हा	ha
डॉ.	Dr.
</s>	</s>
अमित	Amit
मजुंदेर	Majunder
(जन्म:१	(Janma:1
जानेवारी	January
इ.स.	i.s.
१९९१)	1991)
हा	ha
एक	ek
बांगलादेशी	Bangaladeshi
प्रथम	pratham
श्रेणीचा	shrenicha
क्रिकेटपटू	cricketpatu
आहे	ahe
जो	jo
खुल्ना	khulna
विभागातर्फे	vibhagatarphe
खेळतो.	khelto.
</s>	</s>
या	ya
लहान	lahan
बंधूंचे	bandhuche
निधन	nidhan
झाल्याने	zalyane
सार्‍या	sarya
कुटुंबाची	kutumbachi
जबाबदारी	jababdari
बाक्रे	Bakre
यांनी	yanni
घेतली.	ghetli.
</s>	</s>
ज्ञानेश्वरीतील	Gyaneshvaritil
सौंदर्यविश्व	Saundaryavishva
(रसग्रहणात्मक	(Rasgrahnatmak
पुस्तक)	pustak)
</s>	</s>
वासुकीमध्ये	vasukimadhe
काही	kahi
चल	chal
तारेसुद्धा	taresudha
आहेत.	ahet.
</s>	</s>
अंगणी	angani
गंगा	Ganga
घरात	gharat
काशी	Kashi
</s>	</s>
इंग्रजी	Engraji
घोडा	ghoda
</s>	</s>
र्युकयू	Ryukyu
एअर	Air
कम्यूटर-	Commuter-
ओकिनाव्हा	Okinawa
प्रिफेक्चर	Prefecture
आणि	and
आमामी	Amami
आयलंडसाठी	Islandsathi
जेट	Jet
सेवा.	Seva
</s>	</s>
प्रत्येक	pratyek
एकादशी	ekadashi
ला	la
भजन	bhajan
नियमाने	niyamane
होत	hot
असते.	aste.
</s>	</s>
कुडयांचा	kundyancha
आकार	akar
गोल	gol
व	va
फुलासारखा	phulasarkha
असतो	asto
.	.
</s>	</s>
कलनाच्या	kalanachya
संकल्पनांनुसार,	sankalpananusar,
क्षणिक	khanik
त्वरण	tvaran
हे	he
सदीश	sadish
वेगफरक	vegpharak
व	va
तो	to
वेगफरक	vegpharak
कितीक्षण	kitikshan
टिकला	tikla
त्या	tya
क्षणांचे	kshananche
गुणोत्तर	gunottar
होय.	hoy.
</s>	</s>
यांचे	yanche
मूळ	mul
आडनाव	adnav
गोजिवडे	Gojiwade
असे	ase
होते.	hote.
</s>	</s>
पूर्ण	purna
केले.	kele.
</s>	</s>
बिलासपूर,	Bilaspur,
दुर्ग	Durg
या	ya
जिल्ह्यातील	jilhyatil
डोंगरी	dongari
भागात	bhagat
राहणारे.	rahanare.
</s>	</s>
त्यांची	tyanchi
माहिती	mahiti
देण्यासाठी	denyasathi
त्यांनी	tyani
'मी	'me
पाहिला	pahila
दधिची'अशी	dadhichi'ashi
लेखमाला	lekhamala
फेसबुकवर	facebookvar
लिहिली.	lihili.
</s>	</s>
भिवंडी-निजामपूर	Bhivandi-Nijampur
(महाराष्ट्र)	(Maharashtra)
</s>	</s>
आंतरराष्ट्रीय	antarrashtriya
योग	yog
दिवस	diwas
हा	ha
दरवर्षी	darvarshi
२१	21
जून	June
रोजी	roji
जगभरात	jagabharat
साजरा	sajra
केला	kela
जातो.	jato.
</s>	</s>
नाव:	Nav:
माणिकगड	Manikgad
घेराकिल्ला.	gherakilla
</s>	</s>
'चित्पावन	chitpawan
कोकणस्थ	kokanastha
ब्राम्हण'	brahman'
हा	ha
विषय	vishay
घेऊन	gheun
त्या	tya
एम.	M.
</s>	</s>
लिलीबेयमची	lilibeyamchi
लढाई	ladhhai
ही	hi
लढाई	ladhhai
कार्थेज	Karthej
व	va
रोमन	Roman
प्रजासत्ताक	prajasattak
यांच्यात	yanchyat
लढली	ladhhali
गेली.	geli.
</s>	</s>
खास	khas
व्हेनिसहून	venishun
आणलेल्या	analelya
फरशा	farsha
दरबार	darbar
हॉलमध्ये	hallmadhye
बसविण्यासाठी	basawnyasathi
व्हेनिसचेच	venischech
बारा	bara
कारागीर	karagir
अठरा	athara
महिने	mahine
काम	kam
करीत	karit
होते.	hote.
</s>	</s>
लक्षीमीच्या	laxmichya
ज्यत्रा	jatra
भरोस	bharos
च्यालू	chalu
झाल्यास्नं	zalyasna
वट्टात	vattat
माज	maaj
सावली	sawali
काय	kay
कमी	kami
न्हाताय	nhatay
बघ...	bagh…
</s>	</s>
त्यासाठी	tysathi
संस्थेतर्फे	sansthetarfe
विविध	vividh
उपक्रम	upkram
केले	kele
जातात.	jatat.
</s>	</s>
पण	pan
१९४३मधील	1943madhil
बंगालच्या	bangalchya
दुष्काळामुळे	dushkalamule
त्यांनी	tyani
ते	te
शिक्षण	shikshan
अर्धवट	ardhavat
सोडून	sodun
दिले	dile
आणि	ani
ते	te
शेतकी	shetki
विषयाचे	vishayache
शिक्षण	shikshan
घेऊ	gheu
लागले.	lagle.
</s>	</s>
गरुडांची	garudanchi
घरटी	gharti
काट्याकुट्यांपासून	katyakutyanpasun
बनलेली	banaleli
असतात	astat
व	va
ती	ti
बहुधा	bahudha
उंच	uncha
कड्यांवर	kadyanvar
किंवा	kinva
उंच	uncha
झाडांवरती	zadanvarti
असतात.	astat.
</s>	</s>
ह्याचा	hyacha
बदला	badla
म्हणून	mhanun
ब्रिटिश	british
राजवटीने	rajawatine
बिठूर	Bithur
गाव	gaon
जमीनदोस्त	jamindosta
करून	karun
येथील	tethil
अनेक	anek
मंदिरे	mandire
व	va
पेशव्यांचा	peshawyancha
राजवाडा	rajwada
पाडून	padun
टाकला.	takala.
</s>	</s>
समृद्धी	Samrudhi
</s>	</s>
२०१४	2014
साली	Sali
इंडियन	Indian
सुपर	Super
लीग	league
स्पर्धेची	spardhechi
घोषणा	ghoshna
झाल्यानंतर	zalyanantar
विद्यमान	vidyaman
भारतीय	bhartiya
क्रिकेटपटू	cricketpatu
महेंद्रसिंग	Mahendrasingh
धोणी	Doni
व	va
बॉलिवूड	bollywood
अभिनेता	abhineta
अभिषेक	Abhishek
बच्चन	Bacchan
ह्यांनी	hyani
एकत्रितपणे	ekatritpane
चेन्नईयिन	chennaian
क्लबाची	clubchi
स्थापना	stapana
केली.	keli.
</s>	</s>
सांगली	Sangli
येथील	yethil
८१व्या	81vya
अखिल	akhil
भारतीय	bhartiya
मराठी	Marathi
साहित्य	sahitya
संमेलनाचे	samelanache
अध्यक्षपद	adhyakshapad
त्यांनी	tyanni
भूषविले	bhushawile
होते.	hote.
</s>	</s>
शारदा	Sharada
</s>	</s>
महिला	Mahila
विश्व	vishva
</s>	</s>
सुर	sur
</s>	</s>
न	na
जाणणात्या	jananatya
मानवाला	manavala
जाणता	janata
शरण	sharan
बनण्यास	bananyas
हवा	hava
असलेला	aslela
दीक्षा	deeksha
संस्कार	sanskar
व	va
पूजा	puja
स्वातंत्र्य	swatantrya
सर्वाना	sarvana
समानतेने	samanatene
देतो	deto
म्हणून	mhanun
तो	to
धर्म	dharma
आहे.	ahe.
</s>	</s>
या	ya
आधी	aadhi
त्याने	tyane
इ.	i.
</s>	</s>
भारतीय	Bhartiya
योगदर्शनात	yogdarshanat
त्याला	tyala
आदराचे	adarache
स्थान	sthan
लाभले.	labhale.
</s>	</s>
याचे	yache
प्रशासकीय	prashaskiya
केंद्र	kendra
सोणितपुर	Sonitpur
येथे	yethe
आहे.	ahe.
</s>	</s>
गडावरील	gadavaril
टकमक	takmak
टोक	tok
:	:
वाडापासून	vadapasun
आपण	aapan
पायर्‍यांच्या	payaryanchya
साह्याने	sahyane
वर	var
आले	ale
की	ki
उजवीकडची	ujavikadchi
वाट	vaat
हत्तीपागांमधून	hattipaganmadhun
जाऊन,	jaun,
सरळ	saral
एका	eka
टोकावर	tokavar
पोहचते.	pohchte.
</s>	</s>
नेताजी	Netaji
पालकर	Palkar
(जगदीश	(Jagdish
खेबुडकर)	Khebudkar)
</s>	</s>
जन्माच	janmacha
वाटोळं	vatola
केले	kele
बाबानी	babani
तिच्याही.	tichyahi.
</s>	</s>
दक्षिणेत	dakshinet
असाच	asach
प्रकारचा	prakaracha
ताळी	Tali
नावाचा	navacha
असतो.	asto.
</s>	</s>
त्या	tya
सध्या	sadhya
उपेक्षित	upekshit
आहेत.	ahet
</s>	</s>
तसेच	tasecha
'साधना'	'Sadhana'
साप्ताहिकात	saptahikat
ते	te
स्तंभलेख	stambhalekh
आणि	ani
'नवाकाळ'	'Navakal'
मध्ये	madhe
अग्रलेख	agralekh
लिहीत	lihit
असत.	asat.
</s>	</s>
पल्लीपुरम	Pallipuram
या	ya
नावाची	navachi
अनेक	anek
गावे	gave
केरळात	keralat
आहेत.	ahet.
</s>	</s>
महाराष्ट्र	Maharashtra
राज्य	rajya
अनुसूचित	anusuchit
जाती	jati
जमाती	jamati
अत्याचार	atyachar
प्रतिबंधक	pratibhandak
आयोग	aayog
</s>	</s>
हे	he
एक	ek
पुरातन	puratan
असे	ase
श्रीदत्त	Shridatta
क्षेत्र	kshetra
आहे.	ahe.
</s>	</s>
महाराष्ट्र	Maharashtra
ग्रंथोत्तेजक	Granthottejak
संस्थेचा	sansthecha
पुरस्कार	purskar
</s>	</s>
दियेगो	Diego
वेलाझ्क्वेझ	Velazquez
ट्लाकोट्झिन	Tlakotzin
</s>	</s>
पश्चिम	pashchim
महाराष्ट्रातल्या	Maharashtratalya
अहमदनगर	Aheamdnagar
जिल्ह्यातील	jilhyatil
हंगा	Hanga
नावाचे	navache
एक	ek
धरण	dharan
आहे.	ahe.
</s>	</s>
देवाने	devane
अवतार	avatar
घेतले,	ghetale,
यावर	yavar
माझा	maza
विश्वास	vishvas
नाही.	nahi.
</s>	</s>
तूप	Toop
तयार	tayar
करण्यासाठी	karanyasathi
खालील	khalil
पद्धतींचा	padhaticha
अवलंब	avalamb
करण्यात	karnyat
येतो:	yeto:
</s>	</s>
पालनपूर	Palanpur
हे	he
भारताच्या	Bhartachya
गुजरात	Gujrat
राज्यातील	rajyatil
उत्तर	uttar
भागातील	bhagatil
एक	ek
शहर	shahar
आहे.	ahe.
</s>	</s>
महार	mahar
किंवा	kinva
त्यांच्यासारख्या	tyanchyasarakhya
जातिवर्णहीनांना	jativarnahinana
मोठ्या	mothya
प्रमाणावर	pramanavar
सैन्यात	sainyat
भरती	bharati
करण्याची	karanychi
परंपरा	parampara
यूरोपीयांनी	europeanani
सुरू	suru
केली.	keli.
</s>	</s>
पालकी	palaki
</s>	</s>
म्हणजे	mhanaje
मन	man
स्थिर	sthir
होईल.’	hoil.'
</s>	</s>
गेल्या	gelya
वर्षभरात	varshbharat
हरभजनला	harbhajanla
आपल्या	aaplya
फलंदाजीच्या	falandajichya
गुणवत्तेची	gunvattechi
अचानक	achanak
जाण	jan
आली.	ali.
</s>	</s>
डहाणूकर	Dahanukar
औद्योगिक	Aaudyogik
समूहाकडून	samuhakadun
३	3
लाख	lakh
रु/-	Rs/-
ची	chi
देणगी	denagi
मिळाल्यावर	milalyavar
त्याचे	tyache
नाव	nav
महादेव	Mahadev
लक्ष्मण	Lakshaman
डहाणूकर	Dahanukar
महाविद्यालय	Mahavidyalaya
करण्यात	karnyat
आले.	ale.
</s>	</s>
कुर्दिश	Kurdish
या	ya
अल्पसंख्यांक	alpsankhyank
देशाच्या	deshachya
उत्तरपूर्वी	uttarpurvi
आणि	ani
उत्तरपश्चिम	uttarpashchim
भागात	bhagat
बोलली	bolali
जाते.	jate.
</s>	</s>
इंद्रधनुष्य	Indradhanushya
(माहितीपर)	(mahitipar)
</s>	</s>
ध्यान	dhyan
</s>	</s>
अलीवर्दीखानाने	Alivardikhanane
मराठ्यांचा	Marathyancha
जोरदार	jordar
प्रतिकार	pratikar
केला.	kela.
</s>	</s>
अधिकृत	adhikrut
संकेतस्थळ	sanketsthal
</s>	</s>
पांचाळ	Panchal
देशाचा	deshacha
राजा	Raja
द्रुपदयाने	Drupadyane
पुत्रप्राप्तीसाठी	putrapraptisathi
पुत्रकामी	putrakami
यज्ञ	yagnya
केला.	kela.
</s>	</s>
सफ़ल	safal
होगी	hogi
</s>	</s>
दररोज	darroj
१.९	1.9
अब्ज	abja
लोक	lok
वृत्तपत्र	vruttapatra
विकत	vikat
घेऊन	gheun
वाचतात.	vachatat.
</s>	</s>
सुजग	sujag
</s>	</s>
समकालीन	samkaleen
भारतामध्ये	bhartamadhye
मुस्लिम	Muslim
स्त्रियांची	striyanchi
दखल	dakhal
सार्वजनिक	sarvajanik
जगामध्ये	jagamadhye
घेण्यास	ghenyas
काही	kahi
घटना	ghatana
कारणीभूत	karneebhut
ठरल्या	tharalya
त्या	tya
म्हणजे	mhanje
१९८०	1980
च्या	chya
दशकातील	dashakatil
शहाबानो	Shahabano
घटना	ghatana
आणि	ani
२००२	2002
मधील	madhil
गुजरातमधील	gujratmadhil
दंगल.	dangal.
</s>	</s>
लांजा	Lanja
बस	bus
स्थानकातून	sthanakatun
येथे	yethe
येण्यासाठी	yenyasathi
लांजा-हर्दखळे	Lanja-hardkhale
एसटी	ST
बससेवा	busseva
नियमितपणे	niyamitpane
उपलब्ध	upalabdha
आहे.	ahe.
</s>	</s>
दोन	donashe
दशके	dashake
स्त्रीवादी	strivadi
अभ्यासाच्या	abhyasachya
प्रवाहात	pravahat
राहिल्या,	rahilya,
झगडल्यानंतर	zagadlyanantar
हे	he
पुस्तक	pustak
निर्माण	nirman
झाले	zale
असे	ase
लेखिका	lekhika
म्हणते.	mhante.
</s>	</s>
तसेच	tasech
अग्नि,	agni,
जल,	jal,
वायु	vayu,
पृथ्वी	pruthvi
व	va
आकाश	akash
हे	he
भूत	bhut
द्रव्ये	dravye
आहेत.	ahet.
</s>	</s>
या	ya
साम्राज्याचा	samrajyacha
मूळ	mul
पुरुष	purush
कंबूस्वयंभुव	kambuswayambhuv
याच्या	yachya
नावावरून	navavarun
या	ya
साम्राज्याला	samrajyala
काम्बुज	kambuj
हे	he
नाव	naav
मिळाले.	milale.
</s>	</s>
बसवकल्याणला	basavkalyanla
श्रीदत्तात्रेयांचे	shirdatatreyanche
पीठ	peeth
असून	asun
तेथे	tethe
दत्ताच्या	dattachya
पादुका	paduka
आहेत.	ahet.
</s>	</s>
रुद्रप्रयाग	Rudraprayag
जिल्हा	jilha
हा	ha
भारताच्या	bhartachya
उत्तराखंड	uttarakhand
राज्यातील	rajyatil
एक	ek
जिल्हा	jilha
आहे.	ahe.
</s>	</s>
निसर्गायण	Nisargayan
(दिलीप	(Dilip
कुलकर्णी)	Kulkarni)
</s>	</s>
प्रस्ताव	prastav
शब्दाचा	shabdacha
संदर्भ:	sandharbh:
</s>	</s>
रत्‍नागिरी	Ratnagiri
येथील	yethil
महाराष्ट्र	Maharashtra
पत्रकार	patrakar
संघातर्फे	sanghatarphe
`संपादक	'sampadak
भूषण'	bhushan'
पुरस्कार.	purskar.
</s>	</s>
येथून	Yethun
पुढे	pudhe
गांधीजींनी	gandhijini
दलितांच्या	dalitanchya
उद्धारासाठी	udhharasathi
काम	kam
करणे	karne
चालू	chalu
केले.	kele.
</s>	</s>
त्यामुळे	tyamule
मुंबई	Mumbai
प्रांताबाहेर	prantabaher
हा	ha
पक्ष	paksha
लोकप्रिय	lokpriya
होऊ	hou
शकला	shakala
नाही.	nahi.
</s>	</s>
पक्षाने	pakshane
उभे	ubhe
केलेल्या	kelelya
उमेदवारांपैकी	umedvarapaiki
१३	13
उमेदवार	umedwar
व	va
पाठिंब्याचे	pathimbyache
दोन	don
असे	ase
१५	15
उमेदवार	umedwar
विजयी	vijayi
झाले.	zale.
</s>	</s>
वधूपरीक्षा	vadhupariksha
</s>	</s>
कार्य	karya
प्रवचन,	pravachan,
कीर्तन	keertan
</s>	</s>
दुस्-	dus-
दुष्ट	dushta
</s>	</s>
येथे	yethe
तळघरात	talgharat
५	5
फुट	foot
उंचीची	unchichi
मूर्ती	murti
आहे.	ahe.
</s>	</s>
औद्योगिक	aaudyogik
क्रांतीची	krantichi
सुरुवात	suruvat
येथूनच	yethunacha
झाली.	zali.
</s>	</s>
हादिथ	hadith
इस्लाम	islam
धर्माच्या	dharmachya
संस्थापक	sansthapak
मोहम्मद	Mohmaad
पैगंबरच्या	paigambarchya
शिकवणींचा	shikvanincha
समूह	samuh
आहे.	ahe.
</s>	</s>
त्याच्या	tyachya
पश्चात	pashchat
मुलगा	mulga
किम	Kim
जाँग-उन	Jong-Un
ह्याला	hyala
त्याने	tyane
वारस	varas
नेमले	nemle
आहे.	ahe.
</s>	</s>
तसेच	tasech
शेती	sheti
हा	ha
येथील	yethil
एक	ek
मोठा	motha
उद्योग	udyog
आहे.	ahe.
</s>	</s>
पण,	pan,
वेगवेगळ्या	vegvegalya
बँकामध्ये	bankamadhye
वेगवेगळी	vegvegli
प्रथा	pratha
प्रचलित	prachalit
आहे.	ahe.
</s>	</s>
या मध्ये	yamadhye
अमिताभ	Amitabh
बच्चन	Bacchan
यांनी	yani
काम	kam
केले	kele
होते.	hote.
</s>	</s>
लाल	lal
रक्तपेशी	raktapeshi
रक्तातील	raktatil
एक	ek
महत्त्वाचा	mahatvacha
घटक	ghatak
आहेत.	ahet.
</s>	</s>
गरुडाचा	garudacha
डोळ्यातील	dolyatil
पडदा	padada
अर्धपारदर्शक	ardhapardarshak
असल्यामुळे	aslyamule
गरुड	garud
डोळ्यावरही	dolyavarhi
पाहू	pahu
शकतो.	shakto.
</s>	</s>
मराठी	Marathi
गजल	gazal
विषयक	vishayak
अधिकाधिक	adhikadhik
माहिती	mahiti
सर्वांपर्यंत	sarvanparyant
पोहोचावी	pohochavi
यासाठी	yasathi
गजलांकित	gajalankit
प्रतिष्ठान	pratishthan
ही	hi
संस्था	sanstha
गजल	gazal
क्षेत्रातील	kshetratil
मान्यवरांच्या	manyavaranchya
मुलाखतींचे	mulakhatinche
आयोजन	aayojan
करत	karat
असते.	aste.
</s>	</s>
सद्यःस्थितीत	sadyasthitit
न्यायालयात	nyayalayat
जनहित	janahit
याचिका	yachika
दाखल	dakhal
करणे	karane
व	va
त्यांच्या	tyanchya
माध्यमातून	madhyamatun
अन्यायाचे	anyayache
निराकरण	nirakaran
करणे	karane
नागरिकांना	nagrikana
सहजशक्य	sahajshakya
झाले	zale
आहे.	ahe.
</s>	</s>
यात	yat
उपमा,	upama,
रूप,	rup,
पर्यायोक्ती,	pryayokti,
विरोधाभास,	virodhabhas,
यमक,	yamak,
अनुप्रास	anupras
अशा	asha
विविध	vividha
भाषा	bhasha
अलंकारां सोबत	alankarasobat
ठसकेदार	thaskedar
रचनेचा	rachanecha
वैशिष्ट्यपूर्ण	vaishishtyapurna
उपयोग	upyog
केलेला	kelela
असतो.'म्हण'	asto. 'mhan'
शब्द	shabda
समुहात	samuhat
बऱ्याचदा	baryachda
ध्वन्यार्थ	dhvanyartha
हा	ha
वाच्यार्था पेक्षा	vachyarthapeksha
निराळा	nirala
असू	asu
शकतो.	shakto.
</s>	</s>
कानिटकर	Kanitkar
यांनी	yanni
अनेक	anek
ऐतिहासिक	aitihasik
पुस्तकांचे	pustakanche
लेखन	lekhan
केले	kele
होते.	hote.
</s>	</s>
रोजी	roji
पार	par
पडलेल्या	padlelya
दहाव्या	dahavya
अ.	a.
</s>	</s>
त्यामुळे	tyamule
मराठी	Marathi
ही	hi
वेदपूर्वकालीन	vedpurvakaleen
भाषेपासून,	bhashepasun,
संस्कृतपासून,	sanskritpasun,
पालीपासून,	palipasun,
